1,Al-Alaq,96,Meccan
2,Al-Qalam,68,Meccan
3,Al-Muzzammil,73,Meccan
4,Al-Muddaththir,74,Meccan
5,Al-Faatiha,1,Meccan
6,Al-Masad,111,Meccan
7,At-Takwir,81,Meccan
8,Al-A'laa,87,Meccan
9,Al-Lail,92,Meccan
10,Al-Fajr,89,Meccan
11,Ad-Dhuhaa,93,Meccan
12,Ash-Sharh,94,Meccan
13,Al-Asr,103,Meccan
14,Al-Aadiyaat,100,Meccan
15,Al-Kawthar,108,Meccan
16,At-Takaathur,102,Meccan
17,Al-Maa'un,107,Meccan
18,Al-Kaafiroon,109,Meccan
19,Al-Fil,105,Meccan
20,Al-Falaq,113,Meccan
21,An-Naas,114,Meccan
22,Al-Ikhlaas,112,Meccan
23,An-Najm,53,Meccan
24,Abasa,80,Meccan
25,Al-Qadr,97,Meccan
26,Ash-Shams,91,Meccan
27,Al-Burooj,85,Meccan
28,At-Tin,95,Meccan
29,Quraish,106,Meccan
30,Al-Qaari'a,101,Meccan
31,Al-Qiyaama,75,Meccan
32,Al-Humaza,104,Meccan
33,Al-Mursalaat,77,Meccan
34,Qaaf,50,Meccan
35,Al-Balad,90,Meccan
36,At-Taariq,86,Meccan
37,Al-Qamar,54,Meccan
38,Saad,38,Meccan
39,Al-A'raaf,7,Meccan
40,Al-Jinn,72,Meccan
41,Yaseen,36,Meccan
42,Al-Furqaan,25,Meccan
43,Faatir,35,Meccan
44,Maryam,19,Meccan
45,Taa-Haa,20,Meccan
46,Al-Waaqia,56,Meccan
47,Ash-Shu'araa,26,Meccan
48,An-Naml,27,Meccan
49,Al-Qasas,28,Meccan
50,Al-Israa,17,Meccan
51,Yunus,10,Meccan
52,Hud,11,Meccan
53,Yusuf,12,Meccan
54,Al-Hijr,15,Meccan
55,Al-An'aam,6,Meccan
56,As-Saaffaat,37,Meccan
57,Luqman,31,Meccan
58,Saba,34,Meccan
59,Az-Zumar,39,Meccan
60,Al-Ghaafir,40,Meccan
61,Fussilat,41,Meccan
62,Ash-Shura,42,Meccan
63,Az-Zukhruf,43,Meccan
64,Ad-Dukhaan,44,Meccan
65,Al-Jaathiya,45,Meccan
66,Al-Ahqaf,46,Meccan
67,Adh-Dhaariyat,51,Meccan
68,Al-Ghaashiya,88,Meccan
69,Al-Kahf,18,Meccan
70,An-Nahl,16,Meccan
71,Nooh,71,Meccan
72,Ibrahim,14,Meccan
73,Al-Anbiyaa,21,Meccan
74,Al-Muminoon,23,Meccan
75,As-Sajda,32,Meccan
76,At-Tur,52,Meccan
77,Al-Mulk,67,Meccan
78,Al-Haaqqa,69,Meccan
79,Al-Ma'aarij,70,Meccan
80,An-Naba,78,Meccan
81,An-Naazi'aat,79,Meccan
82,Al-Infitaar,82,Meccan
83,Al-Inshiqaaq,84,Meccan
84,Ar-Room,30,Meccan
85,Al-Ankaboot,29,Meccan
86,Al-Mutaffifin,83,Meccan
87,Al-Baqara,2,Medinan
88,Al-Anfaal,8,Medinan
89,Aal-i-Imraan,3,Medinan
90,Al-Ahzaab,33,Medinan
91,Al-Mumtahana,60,Medinan
92,An-Nisaa,4,Medinan
93,Az-Zalzala,99,Medinan
94,Al-Hadid,57,Medinan
95,Muhammad,47,Medinan
96,Ar-Ra'd,13,Medinan
97,Ar-Rahmaan,55,Medinan
98,Al-Insaan,76,Medinan
99,At-Talaaq,65,Medinan
100,Al-Bayyina,98,Medinan
101,Al-Hashr,59,Medinan
102,An-Noor,24,Medinan
103,Al-Hajj,22,Medinan
104,Al-Munaafiqoon,63,Medinan
105,Al-Mujaadila,58,Medinan
106,Al-Hujuraat,49,Medinan
107,At-Tahrim,66,Medinan
108,At-Taghaabun,64,Medinan
109,As-Saff,61,Medinan
110,Al-Jumu'a,62,Medinan
111,Al-Fath,48,Medinan
112,Al-Maaida,5,Medinan
113,At-Tawba,9,Medinan
114,An-Nasr,110,Medinan
